sol,[ 0  5 85]
CF,1.735
LCOE,165.111
sol,[ 1  2 96]
CF,1.89
LCOE,184.822
sol,[ 0  6 10]
CF,1.396
LCOE,122.219
sol,[2 2 1]
CF,1.916
LCOE,160.307
sol,[  1   0 116]
CF,1.599
LCOE,157.216
sol,[  0   4 121]
CF,1.783
LCOE,174.058
sol,[ 1  1 60]
CF,1.402
LCOE,139.364
sol,[ 1  1 58]
CF,1.387
LCOE,137.828
sol,[ 0  6 65]
CF,1.806
LCOE,167.051
sol,[ 0  5 45]
CF,1.437
LCOE,134.635
sol,[ 1  3 32]
CF,1.633
LCOE,153.798
sol,[ 1  3 57]
CF,1.82
LCOE,173.591
sol,[ 0  6 31]
CF,1.552
LCOE,140.315
sol,[ 0  4 25]
CF,1.067
LCOE,101.185
sol,[ 1  4 30]
CF,1.839
LCOE,169.711
sol,[1 2 1]
CF,1.182
LCOE,107.98
sol,[ 0  6 45]
CF,1.657
LCOE,151.571
sol,[ 0  5 71]
CF,1.631
LCOE,154.657
sol,[ 2  0 42]
CF,1.781
LCOE,154.11
sol,[2 2 2]
CF,1.923
LCOE,161.396
sol,[ 1  5 10]
CF,1.91
LCOE,169.654
sol,[0 6 9]
CF,1.388
LCOE,121.291
sol,[ 0  4 28]
CF,1.09
LCOE,103.688
sol,[ 0  1 97]
CF,0.944
LCOE,108.75
sol,[ 1  2 17]
CF,1.301
LCOE,123.176
sol,[ 1  2 33]
CF,1.421
LCOE,136.633
sol,[ 0  6 48]
CF,1.679
LCOE,153.932
sol,[  0   1 125]
CF,1.153
LCOE,122.826
sol,[  0   2 102]
CF,1.201
LCOE,124.826
sol,[  0   2 122]
CF,1.35
LCOE,139.236
sol,[  0   3 122]
CF,1.571
LCOE,157.217
sol,[  1   0 138]
CF,1.763
LCOE,172.874
sol,[ 0  3 51]
CF,1.041
LCOE,104.57
sol,[ 0  4 92]
CF,1.567
LCOE,153.056
sol,[  0   4 112]
CF,1.716
LCOE,167.599
sol,[ 0  3 56]
CF,1.078
LCOE,108.449
sol,[ 1  0 69]
CF,1.249
LCOE,122.672
sol,[ 1  1 38]
CF,1.238
LCOE,122.128
sol,[ 0  5 11]
CF,1.183
LCOE,106.202
sol,[ 1  2 11]
CF,1.256
LCOE,117.82
sol,[ 1  3 69]
CF,1.909
LCOE,182.746
sol,[ 2  0 36]
CF,1.737
LCOE,149.301
sol,[ 1  2 98]
CF,1.905
LCOE,186.283
sol,[ 1  3 52]
CF,1.782
LCOE,169.72
sol,[ 0  6 16]
CF,1.441
LCOE,127.617
sol,[ 1  3 58]
CF,1.827
LCOE,174.361
sol,[0 6 9]
CF,1.388
LCOE,121.291
sol,[2 0 6]
CF,1.513
LCOE,123.353
sol,[ 0  2 93]
CF,1.134
LCOE,118.254
sol,[ 2  0 53]
CF,1.863
LCOE,162.749
sol,[  1   1 110]
CF,1.775
LCOE,176.44
sol,[ 0  5 12]
CF,1.191
LCOE,107.113
sol,[ 1  0 85]
CF,1.368
LCOE,134.636
sol,[1 2 5]
CF,1.212
LCOE,112.139
sol,[ 0  6 51]
CF,1.702
LCOE,156.278
sol,[ 1  1 62]
CF,1.417
LCOE,140.895
sol,[  1   0 115]
CF,1.592
LCOE,156.498
sol,[  0   2 110]
CF,1.261
LCOE,130.62
sol,[0 5 8]
CF,1.161
LCOE,103.416
sol,[ 0  6 59]
CF,1.761
LCOE,162.466
sol,[1 5 5]
CF,1.872
LCOE,164.892
sol,[ 1  0 56]
CF,1.152
LCOE,112.745
sol,[ 1  2 24]
CF,1.353
LCOE,129.178
sol,[  0   1 138]
CF,1.25
LCOE,132.046
sol,[ 0  2 82]
CF,1.052
LCOE,110.134
sol,[  0   3 114]
CF,1.511
LCOE,151.483
sol,[  1   0 137]
CF,1.756
LCOE,172.168
sol,[ 0  3 82]
CF,1.272
LCOE,128.115
sol,[  0   4 110]
CF,1.701
LCOE,166.157
sol,[ 0  4 47]
CF,1.231
LCOE,118.995
sol,[ 0  4 76]
CF,1.448
LCOE,141.196
sol,[ 0  4 56]
CF,1.299
LCOE,126.004
sol,[  0   2 104]
CF,1.216
LCOE,126.279
sol,[ 0  5 73]
CF,1.646
LCOE,156.162
sol,[ 0  5 29]
CF,1.317
LCOE,121.732
sol,[  0   0 134]
CF,1.0
LCOE,105.727
sol,[ 0  5 58]
CF,1.534
LCOE,144.761
sol,[0 5 6]
CF,1.146
LCOE,101.501
sol,[ 1  1 77]
CF,1.529
LCOE,152.227
sol,[ 0  5 20]
CF,1.25
LCOE,114.157
sol,[ 0  5 32]
CF,1.34
LCOE,124.198
sol,[ 2  0 34]
CF,1.722
LCOE,147.681
sol,[  0   2 127]
CF,1.388
LCOE,142.801
sol,[ 0  3 48]
CF,1.019
LCOE,102.225
sol,[ 0  4 40]
CF,1.179
LCOE,113.448
sol,[ 1  0 30]
CF,0.958
LCOE,96.142
sol,[  0   1 130]
CF,1.19
LCOE,126.382
sol,[  1   0 130]
CF,1.704
LCOE,167.21
sol,[2 1 4]
CF,1.718
LCOE,144.917
sol,[ 0  4 22]
CF,1.045
LCOE,98.651
sol,[ 0  3 45]
CF,0.996
LCOE,100.239
sol,[ 1  1 54]
CF,1.357
LCOE,134.74
sol,[  0   1 109]
CF,1.033
LCOE,111.348
sol,[ 1  4 42]
CF,1.928
LCOE,179.413
sol,[  0   2 135]
CF,1.447
LCOE,148.477
sol,[ 1  0 35]
CF,0.995
LCOE,96.642
sol,[  0   3 126]
CF,1.6
LCOE,160.07
sol,[1 5 0]
CF,1.835
LCOE,159.216
sol,[ 1  2 80]
CF,1.771
LCOE,173.017
sol,[ 1  1 63]
CF,1.424
LCOE,141.658
sol,[ 0  4 34]
CF,1.134
LCOE,108.613
sol,[ 0  6 45]
CF,1.657
LCOE,151.571
sol,[ 1  0 42]
CF,1.047
LCOE,101.783
sol,[1 2 0]
CF,1.174
LCOE,106.463
sol,[ 1  1 96]
CF,1.67
LCOE,166.271
sol,[ 0  3 43]
CF,0.981
LCOE,100.15
sol,[ 0  3 44]
CF,0.989
LCOE,100.196
sol,[ 0  3 98]
CF,1.392
LCOE,139.894
sol,[ 1  3 10]
CF,1.469
LCOE,134.883
sol,[  1   1 127]
CF,1.902
LCOE,188.62
sol,[2 1 9]
CF,1.755
LCOE,149.749
sol,[ 2  0 38]
CF,1.751
LCOE,150.913
sol,[ 0  6 25]
CF,1.508
LCOE,135.337
sol,[ 1  1 20]
CF,1.103
LCOE,107.224
sol,[  0   4 137]
CF,1.903
LCOE,185.427
sol,[  0   1 102]
CF,0.981
LCOE,108.331
sol,[ 1  4 22]
CF,1.779
LCOE,163.021
sol,[ 0  5 17]
CF,1.228
LCOE,111.558
sol,[  1   1 120]
CF,1.849
LCOE,183.625
sol,[ 0  4 52]
CF,1.269
LCOE,122.904
sol,[  1   0 100]
CF,1.48
LCOE,145.648
sol,[  0   4 129]
CF,1.843
LCOE,179.759
sol,[ 1  1 81]
CF,1.558
LCOE,155.21
sol,[  0   4 134]
CF,1.88
LCOE,183.306
sol,[  1   1 114]
CF,1.805
LCOE,179.321
sol,[ 0  2 66]
CF,0.933
LCOE,105.202
sol,[  1   1 102]
