demand,capacity factor criteria,power_of_min_lcoe,lcoe_min
500,0.9,50,108.86
500,0.95,50,114.31
500,0.99,50,114.31
500,1.0,50,114.31
1000,0.9,100,97.54
1000,0.95,50,100.76
1000,0.99,100,102.01
1000,1.0,100,102.01
5000,0.9,900,76.55
5000,0.95,300,77.83
5000,0.99,400,79.12
5000,1.0,400,79.12
10000,0.9,700,69.22
10000,0.95,700,70.21
10000,0.99,800,71.85
10000,1.0,800,71.85
