demand,capacity factor criteria,power_of_min_lcoe,lcoe_min
500,0.9,50,87.74
500,0.95,100,90.97
500,0.99,100,90.97
500,1.0,100,90.97
1000,0.9,100,77.62
1000,0.95,200,79.99
1000,0.99,200,79.99
1000,1.0,200,79.99
5000,0.9,900,58.1
5000,0.95,800,59.5
5000,0.99,1000,60.36
5000,1.0,1000,60.36
10000,0.9,1000,53.02
10000,0.95,700,54.11
10000,0.99,1000,54.72
10000,1.0,1000,54.72
