demand,capacity factor criteria,power_of_min_lcoe,lcoe_min
500,0.9,100,108.01
500,0.95,100,108.01
500,0.99,100,108.01
500,1.0,100,108.01
1000,0.9,300,93.34
1000,0.95,500,94.76
1000,0.99,500,94.76
1000,1.0,500,94.76
5000,0.9,900,73.97
5000,0.95,1000,74.01
5000,0.99,1000,74.01
5000,1.0,1000,74.01
10000,0.9,700,69.22
10000,0.95,700,69.28
10000,0.99,800,68.65
10000,1.0,800,68.65
