demand,capacity factor criteria,power_of_min_lcoe,lcoe_min
500,0.9,50,108.86
500,0.95,50,115.71
500,0.99,50,115.71
500,1.0,50,115.71
1000,0.9,100,97.54
1000,0.95,50,100.76
1000,0.99,50,102.65
1000,1.0,50,102.65
5000,0.9,500,76.93
5000,0.95,300,77.99
5000,0.99,300,80.42
5000,1.0,300,80.42
10000,0.9,700,69.22
10000,0.95,700,70.68
10000,0.99,500,72.63
10000,1.0,500,72.63
