demand,capacity factor criteria,power_of_min_lcoe,lcoe_min
500,0.9,50,87.74
500,0.95,50,93.14
500,0.99,50,93.14
500,1.0,50,93.14
1000,0.9,100,77.62
1000,0.95,50,81.82
1000,0.99,100,82.11
1000,1.0,100,82.11
5000,0.9,500,59.18
5000,0.95,600,61.04
5000,0.99,500,62.41
5000,1.0,500,62.41
10000,0.9,1000,53.02
10000,0.95,700,54.57
10000,0.99,900,55.8
10000,1.0,1000,55.94
