demand,capacity factor criteria,power_of_min_lcoe,lcoe_min
500,0.9,50,108.86
500,0.95,100,111.26
500,0.99,100,111.26
500,1.0,100,111.26
1000,0.9,300,96.83
1000,0.95,200,99.03
1000,0.99,200,99.03
1000,1.0,200,99.03
5000,0.9,900,75.26
5000,0.95,800,76.64
5000,0.99,1000,77.17
5000,1.0,1000,77.17
10000,0.9,700,69.22
10000,0.95,700,69.75
10000,0.99,800,70.25
10000,1.0,800,70.25
