demand,capacity factor criteria,power,lcoe_O,lcoe_1,lcoe_2,lcoe_3
500,0.9,1000,236.68561197636123,179.47474251614685,122.26387305593255,65.05300359571822
500,0.9,900,216.8799239248074,167.39014141061455,117.90035889642164,68.41057638222877
500,0.9,800,196.72523193565803,154.95653636748665,113.18784079931523,71.4191452311438
500,0.9,700,176.1659671001877,142.1183584780377,108.07074985588764,74.02314123373768
500,0.9,600,155.12832766243594,128.80180598630727,102.47528431017875,76.1487626340501
500,0.9,500,133.51010173705902,114.90466700695185,96.29923227684469,77.69379754673758
500,0.9,400,158.10819158892394,131.7866009179617,105.46501024699946,79.14341957603712
500,0.9,300,124.76254597552351,110.02135297230183,95.28015996908012,80.5389669658584
500,0.9,200,115.3772839076529,104.49955339549665,93.62182288334037,82.74409237118415
500,0.9,100,94.21745171614322,90.96948971703374,87.72152771792423,84.47356571881475
500,0.9,50,87.74398746772327,87.74398746772327,87.74398746772327,87.74398746772327
500,0.9,20,95.68437566603957,95.68437566603957,95.68437566603957,95.68437566603957
500,0.9,5,110.34111198194562,110.34111198194562,110.34111198194562,110.34111198194562
500,0.9,1,132.61870465787337,132.61870465787337,132.61870465787337,132.61870465787337
500,0.95,1000,236.68561197636123,179.47474251614685,122.26387305593255,65.05300359571822
500,0.95,900,216.8799239248074,167.39014141061455,117.90035889642164,68.41057638222877
500,0.95,800,196.72523193565803,154.95653636748665,113.18784079931523,71.4191452311438
500,0.95,700,176.1659671001877,142.1183584780377,108.07074985588764,74.02314123373768
500,0.95,600,155.12832766243594,128.80180598630727,102.47528431017875,76.1487626340501
500,0.95,500,133.51010173705902,114.90466700695185,96.29923227684469,77.69379754673758
500,0.95,400,158.10819158892394,131.7866009179617,105.46501024699946,79.14341957603712
500,0.95,300,124.76254597552351,110.02135297230183,95.28015996908012,80.5389669658584
500,0.95,200,115.3772839076529,104.49955339549665,93.62182288334037,82.74409237118415
500,0.95,100,94.21745171614322,90.96948971703374,87.72152771792423,84.47356571881475
500,0.95,50,93.14165635734818,91.75398840728995,90.36632045723178,88.97865250717358
500,0.95,20,95.52212497084383,95.52212497084383,95.52212497084383,95.52212497084383
500,0.95,5,109.75520289605393,109.75520289605393,109.75520289605393,109.75520289605393
500,0.95,1,132.0688254359675,132.0688254359675,132.0688254359675,132.0688254359675
500,0.99,1000,236.68561197636123,179.47474251614685,122.26387305593255,65.05300359571822
500,0.99,900,216.8799239248074,167.39014141061455,117.90035889642164,68.41057638222877
500,0.99,800,196.72523193565803,154.95653636748665,113.18784079931523,71.4191452311438
500,0.99,700,176.1659671001877,142.1183584780377,108.07074985588764,74.02314123373768
500,0.99,600,155.12832766243594,128.80180598630727,102.47528431017875,76.1487626340501
500,0.99,500,133.51010173705902,114.90466700695185,96.29923227684469,77.69379754673758
500,0.99,400,158.10819158892394,131.7866009179617,105.46501024699946,79.14341957603712
500,0.99,300,124.76254597552351,110.02135297230183,95.28015996908012,80.5389669658584
500,0.99,200,115.3772839076529,104.49955339549665,93.62182288334037,82.74409237118415
500,0.99,100,94.21745171614322,90.96948971703374,87.72152771792423,84.47356571881475
500,0.99,50,93.14165635734818,91.75398840728995,90.36632045723178,88.97865250717358
500,0.99,20,96.76300227117855,96.47233145749979,96.18166064382102,95.8909898301422
500,0.99,5,109.27413357043757,109.26298466848073,109.25183576652384,109.24068686456697
500,0.99,1,131.66458626102485,131.66253866638544,131.66049107174604,131.65844347710666
500,1.0,1000,236.68561197636123,179.47474251614685,122.26387305593255,65.05300359571822
500,1.0,900,216.8799239248074,167.39014141061455,117.90035889642164,68.41057638222877
500,1.0,800,196.72523193565803,154.95653636748665,113.18784079931523,71.4191452311438
500,1.0,700,176.1659671001877,142.1183584780377,108.07074985588764,74.02314123373768
500,1.0,600,155.12832766243594,128.80180598630727,102.47528431017875,76.1487626340501
500,1.0,500,133.51010173705902,114.90466700695185,96.29923227684469,77.69379754673758
500,1.0,400,158.10819158892394,131.7866009179617,105.46501024699946,79.14341957603712
500,1.0,300,124.76254597552351,110.02135297230183,95.28015996908012,80.5389669658584
500,1.0,200,115.3772839076529,104.49955339549665,93.62182288334037,82.74409237118415
500,1.0,100,94.21745171614322,90.96948971703374,87.72152771792423,84.47356571881475
500,1.0,50,93.14165635734818,91.75398840728995,90.36632045723178,88.97865250717358
500,1.0,20,96.76300227117855,96.47233145749979,96.18166064382102,95.8909898301422
500,1.0,5,110.14036839546155,109.95132044706165,109.76227249866166,109.57322455026174
500,1.0,1,131.62629099503073,131.61455540584737,131.60281981666395,131.5910842274806
1000,0.9,1000,118.34280598818061,99.7373712580734,81.13193652796627,62.52650179785912
1000,0.9,900,109.20140439234919,94.21254187273826,79.22367935312725,64.23481683351626
1000,0.9,800,140.39118838192633,114.06959771096409,87.74800704000187,61.42641636903958
1000,0.9,700,125.63522033403368,105.10382849694162,84.57243665984964,64.0410448227577
1000,0.9,600,110.54649879731497,95.80530579409321,81.06411279087149,66.3229197876498
1000,0.9,500,95.05409619192692,86.10310202257554,77.15210785322408,68.20111368387268
1000,0.9,400,102.15181340054463,91.27408288838843,80.39635237623219,69.51862186407595
1000,0.9,300,81.68470253368686,78.19690922751604,74.70911592134514,71.2213226151743
1000,0.9,200,83.1411502239368,79.98770105971167,76.83425189548643,73.68080273126124
1000,0.9,100,77.62374293995694,77.62374293995694,77.62374293995694,77.62374293995694
1000,0.9,50,82.02444888593146,82.02444888593146,82.02444888593146,82.02444888593146
1000,0.9,20,91.36085931734719,91.36085931734719,91.36085931734719,91.36085931734719
