demand,capacity factor criteria,power,# units,lcoe_1,lcoe_2,lcoe_3
50,0.99995,1000,2,2679.3646425988613,1738.7138409473991,798.0630392959393
50,0.99995,900,2,2454.6964052353333,1610.6106837490188,766.5249622627039
50,0.99995,800,2,2226.298505924535,1478.7778646033662,731.257223282198
50,0.99995,700,2,1993.5578679012187,1342.6023067451958,691.6467455891736
50,0.99995,600,2,1755.658727259304,1201.2682462684274,646.8777652775523
50,0.99995,500,2,1511.4691144935157,1053.6437136677855,595.8183128420551
50,0.99995,400,2,1259.3263103485117,898.0659896879273,536.8056690273429
50,0.99995,300,2,996.5793311844179,731.8840906889795,467.1888501935415
50,0.99995,200,2,718.4158952747829,550.2857349444917,382.15557461419905
50,0.99995,100,2,414.0568003595974,342.1239991731929,270.1911979867884
50,0.99995,50,2,241.48450958198998,217.8286580483241,194.17280651465794
50,0.99995,20,4,211.00113644430522,196.90415315612864,182.807169867952
50,0.99995,10,6,174.77523508968403,170.38589548527037,165.99655588085653
50,0.99995,5,11,173.01224505130253,171.00825919786763,169.00427334443265
50,0.99995,1,51,185.23749918752006,185.11031937430107,184.98313956108208
100,0.99995,1000,2,1344.6823212994302,886.8569204736995,429.03151964796984
100,0.99995,900,2,1232.3482026176662,822.805341874509,413.26248113135205
100,0.99995,800,2,1118.1492529622672,756.8889323016828,395.6286116410989
100,0.99995,700,2,1001.7789339506095,688.8011533725984,375.82337279458727
100,0.99995,600,2,882.8293636296523,618.1341231342141,353.43888263877597
100,0.99995,500,2,760.734557246758,544.3218568338924,327.9091564210274
100,0.99995,400,2,634.6631551742556,466.53299484396337,298.40283451367145
100,0.99995,300,2,503.28966559220856,383.4420453444897,263.59442509677064
100,0.99995,200,2,364.2079476373917,292.6428674722457,221.07778730709973
100,0.99995,100,2,212.0284001797987,188.56199958659647,165.09559899339425
100,0.99995,50,3,173.44116178780857,161.95324889839475,150.46533600898093
100,0.99995,20,6,153.80763949001468,149.49146560014688,145.17529171027923
100,0.99995,10,11,152.3059204156173,150.37318777855634,148.4404551414954
100,0.99995,5,21,152.8331310021805,152.06585138220856,151.29857176223672
100,0.99995,1,102,172.69064315086663,172.58650508434462,172.4823670178224
500,0.99995,1000,2,276.93646425988595,205.37138409473988,133.80630392959384
500,0.99995,900,2,254.46964052353317,192.56106837490174,130.65249622627036
500,0.99995,800,2,231.62985059245332,179.37778646033655,127.1257223282198
500,0.99995,700,2,208.35578679012173,165.7602306745196,123.1646745589175
500,0.99995,600,2,184.5658727259303,151.62682462684273,118.68777652775508
500,0.99995,500,2,160.1469114493515,136.86437136677839,113.58183128420548
500,0.99995,400,3,188.16539155925392,155.23440442171514,122.3034172841765
500,0.99995,300,3,150.5072767243084,132.05903637115443,113.6107960180004
500,0.99995,200,4,140.0075750821012,126.39233148036556,112.77708787862981
500,0.99995,100,6,116.14705127246404,112.07654331133743,108.00603535021075
500,0.99995,50,11,115.01107035485303,113.26914080800852,111.52721126116404
500,0.99995,20,26,117.7248374663736,117.35627507564476,116.98771268491592
500,0.99995,10,53,121.82242708222489,121.41035249736741,120.99827791251006
500,0.99995,5,104,128.4101998304367,128.17407536840844,127.93795090638017
500,0.99995,1,508,146.45021566083622,146.43545153711614,146.42068741339605
1000,0.99995,1000,2,143.46823212994298,120.18569204736994,96.90315196479695
1000,0.99995,900,3,184.9795750575303,144.80721452779915,104.63485399806834
1000,0.99995,800,3,168.5443628719736,135.61337573443507,102.68238859689629
1000,0.99995,700,3,151.8064295192816,126.11681577393524,100.42720202858887
1000,0.99995,600,3,134.70891378040614,116.26067342725214,97.81243307409812
1000,0.99995,500,3,117.1729395474659,105.96607258650423,94.75920562554246
1000,0.99995,400,4,125.22871817997704,111.61347457824135,97.99823097650564
1000,0.99995,300,5,121.08038478470819,109.88348814569335,98.68659150667857
1000,0.99995,200,6,103.77116382880855,99.81755527194996,95.86394671509137
1000,0.99995,100,11,102.66459988675668,101.0283287628004,99.39205763884407
1000,0.99995,50,21,102.44712330413675,101.94124089344011,101.43535848274355
1000,0.99995,20,53,110.58756920863253,110.24887298765167,109.91017676667076
1000,0.99995,10,105,112.25481890197092,112.08473568866063,111.91465247535032
1000,0.99995,5,206,118.67126350801468,118.55685694842802,118.44245038884144
